ZONA,ESTADO,QUANTIDADE,LATITUDE,LONGITUDE
URBANA,ACRE,2123.0,-8.931375, -69.878677
URBANA,AMAPA,3750.0,1.212721,-51.750741
URBANA,AMAZONAS,9054.0,-4.431447,-64.037467
URBANA,PARA,2440.0,-4.936415 ,-52.634481
URBANA,PARANA,852.0,-24.847755 ,-51.025886
URBANA,RIO GRANDE DO SUL,29822.0,-29.6662992,-52.79969764
URBANA,RONDONIA,4359.0,-10.712806 ,-62.961608
URBANA,RORAIMA,5651.0,1.983426 ,-61.235080
URBANA,SANTA CATARINA,5976.0,-27.079767 ,-50.675054
URBANA,TOCANTINS,3632.0,-9.942695 ,-48.275136
